Family,Common Name,Scientific Names,Spawning Season,Reference,Reproductive Guild,Temperature Preference Class,Reference
Cyprinidae,Blackchin Shiner,Notropis heterodon,Spring,SC(1973),A.1.5,cool/warm,C(2001)
,Blacknose Dace,Rhinichthys atratulus,Spring,SC(1973),A.1.3,cool,C(2001)
,Bluntnose Minnow,Pimephales notatus,Spring,SC(1973),B.2.7,warm,C(2001)
,Carp,Cyprinus carpio,Spring,SC(1973),A.1.5,warm,C(2001)
,Central Stoneroller,Campostoma anomalum,Spring,SC(1973),A.2.3,cool/warm,C(2001)
,Common Shiner,Notropis cornutus,Spring,SC(1973),B.2.3,cool,C(2001)
,Creek Chub,Semotilus atromaculatus,Spring,SC(1973),A.2.3,cool,C(2001)
,Emerald Shiner,Notropis atherinoides,Spring,SC(1973),A.1.1,cool,C(2001)
,Fallfish,Semotilus coropralis,Spring,SC(1973),A.2.3,cool,C(2001)
,Fathead Minnow,Pimephales promelas,Spring,SC(1973),B.2.7,warm,C(2001)
,Finescale Dace,Chrosomus neogaeus,Spring,SC(1973),A.1.4,cool,C(2001)
,Golden Shiner,Notemigonus crysoleucas,Spring,SC(1973),A.1.5,cool,C(2001)
,Goldfish,Carassius auratus,Spring,SC(1973),A.1.5,warm,C(2001)
,Longnose Dace,Rhinichthys cataractae,Spring,SC(1973),A.1.3,cool,C(2001)
,Northern Redbelly Dace,Chrosomus eos,Spring,SC(1973),A.1.5,cool/warm,C(2001)
,Pugnose Shiner,Notropis anogenus,Spring,SC(1973),A.1.3,cool,C(2001)
,Rosyface Shiner,Notropis rubellus,Spring,SC(1973),A.1.3,warm,C(2001)
,Spotfin Shiner,Cyprinella spiloptera,Spring,SC(1973),A.1.4,warm,C(2001)
,Spottail Shiner,Notropis hudsonius,Spring,SC(1973),A.1.6,cold/cool,C(2001)
Esocidae,Grass Pickerel,Esox americanus vermiculatus,Spring,"
SC(1973)",A.1.5,warm,C(2001)
,Muskellunge,Esox masquinongy,Spring,SC(1973),A.1.5,warm,C(2001)
,Northern Pike,Esox lucius,Spring,SC(1973),A.1.5,cool,C(2001)
,Banded Killifish,Fundulus diaphanus,Spring,SC(1973),A.1.5,cool,C(2001)
,Mummichog,Fundulus heteroclitus,Spring,SC(1973),A.1.4,cold,C(2001)
Gadidae,Burbot,Lota lota,Fall,SC(1973),A.1.2,cold/cool,C(2001)
Gasterosteidae,Brook Stickleback,Culaea inconstans,Spring,SC(1973),B.2.4,cool,C(2001)
,Ninespine Stickleback,Pungitius pungitius,Spring,"
SC(1973)",A.1.3,warm,C(2001)
,Threespine Stickleback,Gasterosteus aculeatus,Spring,"
SC(1973)",B.2.4,cold,C(2001)
Hiodontidae,Mooneye,Hiodon tergisus,Spring,SC(1973),A.1.2,cool/warm,C(2001)
Ictaluridae,Black Bullhead,Ictalurus melas,Spring,SC(1973),B.2.3,warm,C(2001)
,Brown Bullhead,Ameiurus nebulosus,Spring,SC(1973),B.2.7,warm,C(2001)
,Channel Catfish,Ictalurus punctatus,Spring,SC(1973),B.2.7,warm,C(2001)
,Stonecat,Noturus flavus,Spring,SC(1973),B.2.7,warm,C(2001)
,Yellow Bullhead,Ictalurus natalis,Spring,SC(1973),B.2.7,warm,C(2001)
Lepisosteidae,Longnose Gar,Lepisosteus osseus,Spring,SC(1973),A.1.5,warm,C(2001)
,Spotted Gar,Lepisosteus oculatus,Spring,SC(1973),A.1.5,warm,C(2001)
Moronidae,White Bass,Morone chrysops,Spring,SC(1973),A.1.4,warm,C(2001)
,White Perch,Morone Americana,Spring,SC(1973),A.1.4,warm,C(2001)
Percichthyidae,Striped Bass,Morone saxatilis,Spring,SC(1973),A.1.2,cold,C(2001)
Percidae,Eastern Sand Darter,Ammocrypta pellucida,Spring,SC(1973),A.1.6,cool/warm,C(2001)
,Rainbow Darter,Ethestoma carolineum,Spring,SC(1973),A.2.3,cool,C(2001)
,Sauger,Stizostedion canadense,Spring,SC(1973),A.1.3,cool,C(2001)
,Walleye,Stizostedion vitreum,Spring,SC(1973),A.1.2,cool,C(2001)
,Yellow Perch,Perca flavescens,Spring,SC(1973),A.1.4,cool,C(2001)
Percopsidae,Trout-Perch,Percopsis omniscomaycus,Spring,SC(1973),A.1.3,cold,C(2001)
Petromyzontidae,Sea Lamprey,Petromyzon Marinus,Spring,SC(1973),A.2.3,cold,C(2001)
Salmonidae,Atlantic Salmon,Salmo salar,Fall,SC(1973),A.2.3,cold,C(2001)
,Bloater,Coregonus hoyi,Spring,SC(1973),A.1.2,cold,C(2001)
,Brook Trout,Salvelinus fontinalis,Fall,SC(1973),A.2.3,cold,C(2001)
,Brown Trout,Salmo trutta,Fall,SC(1973),A.2.3,cold/cool,C(2001)
,Chinook Salmon,Oncorhynchus tshawytscha,Fall,"
SC(1973)",A.2.3,cold,C(2001)
,Chum Salmon,Oncorhynchus keta,Fall,SC(1973),A.2.3,cold,C(2001)
,Coho Salmon,Oncorhynchus kisutch,Fall,SC(1973),A.2.3,cold,C(2001)
,Cutthroat Trout,Oncorhynchus clarkii,Spring,SC(1973),A.2.3,cold,C(2001)
,"Lake Herring, Cisco",Coregonus artedii,Fall,SC(1973),A.1.2,cold,C(2001)
,Lake Trout,Salvelinus namaycush,Fall,SC(1973),A.2.3,cold,C(2001)
,Lake Whitefish,Coregonus clupeaformis,Fall,SC(1973),A.1.3,cold,C(2001)
,Pink Salmon,Oncorhynchus gorbuscha,Fall,"
SC(1973)",A.2.3,cold,"
C(2001)"
,Rainbow Trout,Oncorhynchus mykiss,Spring,SC(1973),A.2.3,cold,C(2001)
,Round Whitefish,Proposium cylindraceum,Fall,SC(1973),A.1.3,cold,C(2001)
,Sockeye Salmon,Oncorhynchus nerka,Fall,SC(1973),A.2.3,cold,C(2001)
Sciaenidae,Freshwater Drum,Aplodinotus grunniens,Spring,SC(1973),A.1.1,warm,C(2001)
Umbridae,Central Mudminnow,Umbra limi,Spring,SC(1973),A.1.5,cool/warm,C(2001)
