Appendix 1: Summary of findings from catch-and-release studies.

Species                 N       Days      % Mortality         Reference

Blue catfish            52         3          5.1        Muoneke, 1993
Palmetto bass      89       3        1-29       Childress, 1989a

White bass        122       3         0.8       Childress, 1989a


Yellow bass        5      <1         60        Tilyou and Hoenke, 1992

Black sea bass     64      2         4.7       Bugley and Shepherd, 1991

Crappie            15     <1          0        Tilyou and Hoenke, 1992

Black crappie     202     <1        19-77      Childress, 1989b

White crappie     226     6-11       3         Hubbard and Miranda, 1991
White crappie     69      18         29        Childress, 1989b
White crappie     43       3        9.3        Muoneke, 1992a
White crappie      13    ≤504       15.4       Colvin, 1991

Bluegill          170      3       1.1-25.3    Muoneke, 1992b
Bluegill          210      3         0-18      Burdick and Wydoski, 1989
Bluegill           75     10        30-88      Siewert and Cave, 1990
Bluegill          200      7         4-14      Barthel et al., 2003
Bluegill          685      3          1.3      Cooke et al., 2003b

Pumpkinseed       175      3          0        Cooke et al., 2003b

Rock bass          80      5          0        Cooke et al., 2001

Black bass          NA      NA        5        Lee, 1989

Largemouth bass   1106     1-2      3-16       Bennett et al., 1989
Largemouth bass   3283    <1         14        Schramm et al., 1985
Largemouth bass   3129    28         32        Seidensticker, 1977
Largemouth bass    261    14        19.4       Archer and Loyacano, 1975
Largemouth bass   1351      6        38        Rutledge and Pritchard, 1975
Largemouth bass   1422    7-23       30        May, 1973
Largemouth bass   1863    19        14.3       Welborn and Barkley, 1974
Largemouth bass    NA    14-21      26.7       Schramm et al., 1987
Largemouth bass   285     60        11.2       Pelzman, 1978
Largemouth bass    NA        2        3.2       Hartley and Moring, 1991

Smallmouth bass    70      7         0-11      Clapp and Clark, 1989
Smallmouth bass   634     20       4.2-47.3    Weidlein, 1989
Smallmouth bass    NA      2          8.9      Hartley and Moring, 1991
Smallmouth bass   458     NA         0-8.5      Bennett et al., 1989
Smallmouth bass   61       2          4.9      Jackson and Willis, 1991
Smallmouth bass   238      3           0       Dunmall et al., 2001

Guadalupe bass     85       3        2.4        Muoneke, 1991

Spotted bass       47       3         8.5       Muoneke, 1992a

Walleye            180     12         1.1       Fletcher, 1987
Walleye            865      5         40        Goeman, 1991
Walleye             47      3          0        Parks and Kraai, 1991
Walleye            2357     3         21        Fielder and Johnson, 1992
Walleye            NA     14-28      5-16       Payer et al., 1989
Walleye            240      2         0.8       Schaefer, 1989
Walleye            123      1         23        Rowe and Esseltine, 2002

Sauger             74      <1         4         Bettoli et al., 2000

Black drum         19      <1         0         Martin et al., 1987b
Black drum         325     NA         0         Martin et al., 1987a

Red drum           171     <1         0         Martin et al., 1987b
Red drum           121      3        4.13       Matlock et al., 1993
Red drum            38      3        44.7       Childress, 1989a
Red drum           968     NA        0.21       Martin et al., 1987a

Spotted seatrout   401      7          37       Hegen et al., 1983
Spotted seatrout    43     <1        20-70      Martin et al., 1987b
Spotted seatrout   52      7-9       0-56       Matlock and Dailey, 1981
Spotted seatrout   NA       7        17-27      Hegen et al., 1987
Spotted seatrout   124      3         7.29      Matlock et al., 1993
Spotted seatrout   127     NA        16.54      Martin et al., 1987a

White seabass      221     90         10        Aalbers et al., 2004
